ListSizes,TestResult
0,0
1000,0
2000,1
3000,4
4000,7
5000,8
6000,8
7000,13
8000,13
9000,13
10000,17
11000,16
12000,24
13000,24
14000,30
15000,36
16000,33
17000,36
18000,40
19000,40
20000,55
21000,51
22000,54
23000,57
24000,65
25000,67
26000,61
27000,75
28000,65
29000,72
30000,74
31000,74
32000,75
33000,76
34000,58
35000,67
36000,92
37000,65
38000,73
39000,71
40000,68
41000,73
42000,92
43000,111
44000,97
45000,107
46000,105
47000,117
48000,119
49000,95
50000,118
51000,134
52000,117
53000,124
54000,139
55000,138
56000,134
57000,136
58000,121
59000,129
60000,159
61000,143
62000,160
63000,167
64000,171
65000,165
66000,161
67000,161
68000,169
69000,149
70000,162
71000,172
72000,171
73000,187
74000,159
75000,171
76000,169
77000,203
78000,232
79000,176
80000,192
81000,204
82000,209
83000,209
84000,234
85000,248
86000,234
87000,221
88000,258
89000,356
90000,277
91000,273
92000,240
93000,232
94000,237
95000,245
96000,222
97000,256
98000,214
99000,254
100000,291
101000,275
102000,253
103000,243
104000,271
105000,256
106000,275
107000,301
108000,310
109000,266
110000,301
111000,302
112000,329
113000,310
114000,292
115000,291
116000,321
117000,352
118000,323
119000,311
120000,297
121000,340
122000,351
123000,344
124000,351
125000,371
126000,300
127000,331
128000,358
129000,330
130000,370
131000,351
132000,341
133000,330
134000,324
135000,379
136000,397
137000,374
138000,314
139000,384
140000,398
141000,407
142000,378
143000,433
144000,385
145000,395
146000,393
147000,412
148000,381
149000,402
150000,388
151000,451
152000,464
153000,394
154000,385
155000,404
156000,404
157000,412
158000,440
159000,396
160000,473
161000,397
162000,456
163000,480
164000,408
165000,469
166000,484
167000,471
168000,472
169000,525
170000,512
171000,496
172000,502
173000,495
174000,507
175000,518
176000,514
177000,486
178000,489
179000,478
180000,462
181000,506
182000,457
183000,502
184000,531
185000,517
186000,496
187000,559
188000,529
189000,509
190000,566
191000,543
192000,549
193000,574
194000,516
195000,498
196000,547
197000,549
198000,549
199000,572
