K,TestResult
0,693
1000,673
2000,761
3000,886
4000,844
5000,672
6000,704
7000,669
8000,769
9000,859
10000,946
11000,699
12000,677
13000,789
14000,813
15000,791
16000,765
17000,759
18000,708
19000,838
20000,746
21000,737
22000,719
23000,695
24000,688
25000,712
26000,731
27000,684
28000,744
29000,612
30000,642
31000,708
32000,644
33000,712
34000,642
35000,681
36000,653
37000,634
38000,672
39000,689
40000,697
41000,730
42000,683
43000,719
44000,696
45000,685
46000,699
47000,671
48000,750
49000,724
50000,680
51000,714
52000,647
53000,720
54000,721
55000,706
56000,683
57000,622
58000,675
59000,714
60000,603
61000,613
62000,666
63000,640
64000,654
65000,607
66000,662
67000,677
68000,627
69000,662
70000,663
71000,645
72000,584
73000,620
74000,634
75000,682
76000,636
77000,723
78000,701
79000,749
80000,719
81000,758
82000,797
83000,758
84000,677
85000,656
86000,608
87000,696
88000,665
89000,731
90000,684
91000,748
92000,772
93000,706
94000,700
95000,635
96000,695
97000,699
98000,726
99000,703
100000,663
101000,661
102000,653
103000,663
104000,647
105000,682
106000,665
107000,671
108000,719
109000,712
110000,628
111000,680
112000,724
113000,679
114000,739
115000,660
116000,699
117000,861
118000,717
119000,726
120000,754
121000,745
122000,790
123000,695
124000,730
125000,754
126000,746
127000,666
128000,651
129000,693
130000,694
131000,636
132000,643
133000,695
134000,680
135000,800
136000,608
137000,652
138000,720
139000,689
140000,610
141000,677
142000,682
143000,664
144000,675
145000,675
146000,704
147000,644
148000,715
149000,698
150000,666
151000,668
152000,683
153000,707
154000,630
155000,674
156000,628
157000,698
158000,684
159000,694
160000,715
161000,690
162000,669
163000,631
164000,676
165000,666
166000,660
167000,647
168000,706
169000,694
170000,646
171000,659
172000,658
173000,704
174000,650
175000,676
176000,695
177000,689
178000,682
179000,679
180000,706
181000,735
182000,655
183000,640
184000,673
185000,643
186000,764
187000,734
188000,862
189000,920
190000,969
191000,812
192000,778
193000,876
194000,818
195000,863
196000,808
197000,859
198000,854
199000,857
