DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,3
2000,0,0,3
3000,5,4,0
4000,7,4,0
5000,14,13,4
6000,14,11,1
7000,16,4,6
8000,20,0,6
9000,24,4,6
10000,31,7,3
11000,46,20,6
12000,48,19,12
13000,59,20,16
14000,62,25,3
15000,72,25,3
16000,104,29,10
17000,100,24,19
18000,103,30,12
19000,112,25,12
20000,127,31,10
21000,209,50,17
22000,195,63,22
23000,207,70,19
24000,240,50,25
25000,308,53,29
26000,288,68,19
27000,314,76,25
28000,316,84,22
29000,427,76,28
30000,424,82,25
31000,521,100,28
32000,436,119,16
33000,626,101,28
34000,718,112,22
35000,663,124,16
36000,697,126,31
37000,694,131,28
38000,673,140,31
39000,680,150,31
40000,819,167,25
41000,1094,222,44
42000,1143,241,44
43000,1306,244,47
44000,1326,247,47
45000,1362,267,47
46000,1422,260,47
47000,1458,254,47
48000,1737,274,50
49000,1665,271,50
50000,1587,307,49
51000,1617,332,47
52000,1778,369,47
53000,1894,362,50
54000,2243,382,45
55000,1922,364,53
56000,2134,394,56
57000,2417,388,50
58000,2107,386,53
59000,2698,385,48
60000,2526,397,56
61000,2620,421,57
62000,2723,433,50
63000,2638,440,54
64000,2803,463,54
65000,2911,499,62
66000,2875,467,56
67000,3233,512,50
68000,3037,506,63
69000,3454,545,59
70000,3213,570,57
71000,3819,561,59
72000,3673,600,50
73000,4030,635,59
74000,4150,626,62
75000,4145,651,53
76000,4259,660,53
77000,4194,655,62
78000,4687,689,65
79000,4825,717,62
