InputListSize,Test1Results,Test2Results,Test3Results
0,146,73,73
100,2626,292,510
200,8825,365,365
300,22391,656,3209
400,42740,729,802
500,73956,1021,1021
600,99556,1167,1386
700,130844,1678,1823
800,178106,2188,1969
900,322225,2261,2334
1000,302167,2699,2626
1100,340823,2771,3355
1200,425719,5762,3209
1300,481733,3282,3355
1400,585154,3428,3647
1500,695285,3720,3939
1600,830943,3938,4230
1700,902565,4084,4376
1800,1031148,7585,7294
1900,1234854,4522,4960
2000,1428569,4814,5324
2100,1514923,5033,5397
2200,1654009,5835,5908
2300,1864935,5543,6564
2400,2268847,5762,6637
2500,2259074,8679,6710
2600,2321433,6053,6637
2700,2508072,6637,6710
2800,2922340,6710,7366
2900,3076669,7148,7439
3000,3684214,7439,8096
3100,3600120,7658,8242
3200,3744968,8461,8606
3300,4455132,10722,8971
3400,4263387,11669,9044
3500,4518293,8606,9262
3600,4911921,8825,9773
3700,5128901,8898,10065
3800,5486207,9190,11378
3900,6490442,9263,11086
4000,6495840,9628,11086
4100,6917182,10430,13347
4200,6761029,10211,12690
4300,7068594,10722,12545
4400,7860371,10721,11815
4500,8030017,11013,15171
4600,8064807,11232,16337
4700,8428093,11597,12982
4800,8730918,12253,13128
4900,8944251,15316,13274
5000,9448083,12691,14514
5100,10506290,12909,14076
5200,10729323,13274,15171
5300,11348756,13347,18160
5400,12774699,16921,16629
5500,15220776,16629,17286
5600,13788780,17796,17723
5700,14301583,20130,18525
5800,13423305,17942,21005
5900,14802789,19546,17359
6000,13821455,25308,17650
6100,13954852,16775,18088
6200,14623078,16410,20057
6300,15694924,16702,22756
6400,16906220,19911,19984
6500,16182418,19692,19254
6600,16172061,22245,18599
6700,16915264,17869,19109
6800,17459210,17577,19036
6900,17836646,17796,19109
7000,19254347,18234,19255
7100,20257415,22683,19619
7200,20528586,19182,21005
7300,19969324,22828,20130
7400,20563011,19692,24141
7500,21338158,20568,26694
7600,22159693,19984,25819
7700,23330073,20641,33550
7800,23288136,20786,32674
7900,23110759,21151,39677
8000,23803856,23996,47918
8100,30585526,22391,34133
8200,28734448,21224,34133
8300,28952157,21808,34425
8400,30788721,31800,35227
8500,27670041,29393,62650
8600,29243457,23485,33258
8700,45400203,23266,37196
8800,41928811,23412,31508
8900,40310176,23339,30487
9000,33031895,24287,32529
9100,31815493,25673,33550
9200,32183229,25600,30122
9300,33342669,24579,38145
9400,34766059,25600,31654
9500,34794868,32529,43542
9600,35583144,31435,38728
9700,35668259,26402,30341
9800,38633120,26621,36175
9900,37706268,27205,32310
10000,40451961,28882,30705
10100,38540420,27497,29903
10200,40321991,28810,31216
10300,41898398,29246,33987
10400,43056452,28007,32164
10500,42345195,34498,40260
10600,43589604,33039,32675
10700,44422588,40843,32456
10800,46720974,32967,32893
10900,45633301,33185,31289
11000,46250327,31362,31654
11100,48558048,37853,38947
11200,52923835,32018,35519
11300,52729538,36832,32383
11400,49771751,33842,47115
11500,50434726,41791,37197
11600,51102733,34060,37051
11700,52326137,32748,35154
11800,55509510,42812,34425
11900,60408156,39749,35009
12000,61966985,38728,39238
12100,59084760,40843,67610
12200,57711111,37853,49231
12300,59853562,40916,65058
12400,60184612,35811,44490
12500,62732725,34936,62140
12600,61899156,36759,46240
12700,63567315,39603,43761
12800,65031183,41572,40625
12900,66855713,44490,40698
13000,69623286,38072,40479
13100,67040821,42740,44271
13200,72568819,41354,42886
13300,70227402,52294,53607
13400,89212402,42740,44709
13500,74877853,40114,51127
13600,73109191,40478,44344
13700,74070468,40479,45219
13800,74499323,41645,52002
13900,77474176,41718,53096
14000,77992376,51564,47845
14100,77737907,45001,46897
14200,79980935,52805,50981
14300,81416068,50471,47772
14400,81092165,46021,61776
14500,83048342,44782,48501
14600,84147392,45730,54263
14700,85482021,50689,68267
14800,86347316,48064,63088
14900,87706377,53971,48648
15000,90304450,54336,48793
15100,90701944,51929,49742
15200,92144005,54847,69215
15300,93341662,59588,56305
15400,115757355,61629,50762
15500,96206968,54847,51857
15600,97703219,49595,51492
15700,99109105,59879,53242
15800,100217272,58056,58056
15900,101379264,67465,53388
16000,102742994,54555,54482
16100,103525654,57983,71476
16200,106558563,56233,58785
16300,106184701,71184,60681
16400,108888091,53898,59223
16500,108943376,59733,66662
16600,112002176,61046,65568
16700,141209167,65787,63745
16800,116367744,56087,70163
16900,116351991,57035,83000
17000,120411234,64110,108307
17100,117904329,59077,75487
17200,119385921,61557,77019
17300,121382430,58712,84604
17400,137772492,70017,106265
17500,128448617,68267,98826
17600,126929756,64037,89928
17700,127913643,67318,73737
17800,130448700,73591,82927
17900,131131003,69287,80520
18000,132892882,61192,81978
18100,134869334,61994,87156
18200,135723835,62213,93794
18300,136712827,62651,78477
18400,138677683,81322,83656
18500,140245410,65568,79499
18600,143054045,68923,80738
18700,143407413,63890,79353
18800,161802956,100650,75633
18900,148124745,78551,81104
19000,149417728,66079,87448
19100,150076180,81541,83583
19200,152784530,67975,75706
19300,153651065,68777,83875
19400,155038717,74466,93356
19500,157219240,67975,120269
19600,159216406,77165,84093
19700,160043702,97586,120561
19800,162097465,72059,78623
19900,163711068,85698,75633
